City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
530,Elizabeth City,US,36.2946,-76.2511,46.42,64,0,0.0,clear sky
531,Santa Cruz,BO,-17.8,-63.1667,80.65,78,75,13.8,broken clouds
532,Pasni,PK,25.2631,63.471,55.85,41,0,21.88,clear sky
533,Abha,SA,18.2164,42.5053,52.05,71,0,5.75,clear sky
534,Svetlogorsk,BY,52.6333,29.7333,29.93,78,34,1.3,scattered clouds
535,Pelym,RU,61.0108,61.9978,10.42,90,83,5.61,broken clouds
536,Kyren,RU,51.6828,102.1408,-8.68,90,66,1.34,broken clouds
537,Pangnirtung,CA,66.1451,-65.7125,-4.0,71,75,6.91,broken clouds
538,Kamaishi,JP,39.2667,141.8833,16.92,63,51,15.12,broken clouds
539,Khani,GE,41.9563,42.9566,31.57,49,0,5.01,clear sky
540,Gengenbach,DE,48.4,8.0167,38.14,84,100,8.05,overcast clouds
541,Revda,RU,56.801,59.9303,10.31,91,98,14.14,overcast clouds
542,Verkhnyaya Inta,RU,65.9811,60.3094,12.18,89,100,20.58,overcast clouds
543,Porto Novo,BJ,6.4965,2.6036,82.22,85,2,7.18,clear sky
544,Quang Ngai,VN,15.1167,108.8,65.43,91,100,8.99,overcast clouds
545,Canoa,DO,18.355,-71.1585,80.31,74,75,5.75,broken clouds
546,Beringovskiy,RU,63.05,179.3167,-10.59,95,91,13.0,overcast clouds
547,Suhbaatar,MN,50.2314,106.2078,-32.06,99,26,1.77,scattered clouds
548,Cedar City,US,37.6775,-113.0619,31.17,55,0,6.91,clear sky
549,Curry,US,34.9528,-103.2519,34.59,78,100,9.91,overcast clouds
550,Miandrivazo,MG,-19.5167,45.4667,77.52,72,100,18.81,light rain
551,Penzance,GB,50.1186,-5.5371,32.68,65,14,0.18,few clouds
552,Las Cruces,US,32.3123,-106.7783,51.91,36,0,17.27,clear sky
553,Tandil,AR,-37.3217,-59.1332,62.69,90,50,19.93,scattered clouds
554,Zwedru,LR,6.0667,-8.1281,73.26,94,76,2.71,broken clouds
555,Qaqortoq,GL,60.7167,-46.0333,24.91,78,100,13.35,overcast clouds
